stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Gabriel\Desktop\projeto-integrador2\PI-2\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.04386] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04396] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04405] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04415] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04427] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04436] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04445] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04453] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04461] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04471] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.04479] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04489] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04500] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04510] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04519] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04528] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04538] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04551] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04563] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04571] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04580] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04593] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04604] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04614] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04622] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04640] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04666] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04701] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04716] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04727] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04737] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04750] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04760] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04772] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04782] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04793] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04803] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04814] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04824] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04836] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.04846] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.04856] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.04870] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.04955] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.04973] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.09751] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.13344] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.13366] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.13395] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.13515] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.13626] Returning d3d_display: 00000226D6835D30
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.13663] al_display=00000226D6835D30
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.13687] al_display->vt=00000226D6804220
dtor     D               dtor.c:196  _al_register_destructor          [   0.13747] added dtor for queue 00000226D680DFC0, func 00007FFF40A91C53
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.63415] removed dtor for queue 00000226D680DFC0
d3d      I         d3d_disp.cpp:910  d3d_destroy_display              [   3.63463] destroying display 00000226D6835D30 (current 0000000000000000)
d3d      D         d3d_disp.cpp:894  d3d_destroy_display_internals    [   3.63776] waiting for display 00000226D6835D30's thread to end
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [   3.66053] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [   3.66394] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1557 d3d_display_thread_proc          [   3.68044] d3d display thread exits
